Nombre de la Weduka ,Enlace,Afiliación
Piloto: ¡Impulsa tus Metas! / Test MGM ,http://nucolombia.myweduka.com/DocumentFind?idDocument=3871,Nu
[ACQ] - Flujo de registro: Tarjeta Abre Caminos,http://nucolombia.myweduka.com/DocumentFind?idDocument=3069,Nu
Experiencia cross-sell  en Nu,http://nucolombia.myweduka.com/DocumentFind?idDocument=3810,Nu
Inscripción y registro al mundo Nu para prospectos nuevos,http://nucolombia.myweduka.com/DocumentFind?idDocument=3902,Nu
Ruta de activación de productos,http://nucolombia.myweduka.com/DocumentFind?idDocument=3769,Nu
Dudas de prospectos sobre la adquisición de CDTs ,http://nucolombia.myweduka.com/DocumentFind?idDocument=3728,Nu
Pagarés ,http://nucolombia.myweduka.com/DocumentFind?idDocument=3292,Nu
Inconvenientes en el proceso de adquisición,"https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=3934&logType=12&queryJson=%7B%22text%22%3A%22%5Ct%5BACQ%5D%20-%20Inconvenientes%20en%20el%20proceso%20de%20adquisici%C3%B3n%22,%22limitSearch%22%3Atrue,%22fields%22%3A%5B8,1,2,7,3%5D,%22repository%22%3A%5B%5D,%22category%22%3A%5B%5D,%22topic%22%3A%5B%5D,%22type%22%3A%5B%5D%7D&idlogSearch=506148",Nu
Yellow Docs,"https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=3937&logType=12&queryJson=%7B%22text%22%3A%22yellow%22,%22limitSearch%22%3Atrue,%22fields%22%3A%5B8,1,2,7,3%5D,%22repository%22%3A%5B%5D,%22category%22%3A%5B%5D,%22topic%22%3A%5B%5D,%22type%22%3A%5B%5D%7D&idlogSearch=506562",Nu
"Flujo de registro: Tarjeta Abre Caminos
",https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=3069 ,Nu
"Implementación Case Management
",https://nucolombia.myweduka.com/DocumentFind/Document?idDocument=4378,Nu
